#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.41344  0.34802 -0.00819 -0.84797  0.000000  0.000000  0.000000     1.000
   1.42200  0.35656 -0.00760 -0.84358  0.000000  0.000000  0.000000     1.000
   1.43066  0.36520 -0.00703 -0.84386  0.000000  0.000000  0.000000     1.000
   1.43943  0.37395 -0.00647 -0.84453  0.000000  0.000000  0.000000     1.000
   1.44829  0.38280 -0.00591 -0.84550  0.000000  0.000000  0.000000     1.000
   1.45726  0.39175 -0.00534 -0.84573  0.000000  0.000000  0.000000     1.000
   1.46634  0.40081 -0.00475 -0.84329  0.000000  0.000000  0.000000     1.000
   1.47552  0.40997 -0.00416 -0.84180  0.000000  0.000000  0.000000     1.000
   1.48480  0.41923 -0.00358 -0.84052  0.000000  0.000000  0.000000     1.000
   1.49419  0.42860 -0.00302 -0.84197  0.000000  0.000000  0.000000     1.000
   1.50367  0.43807 -0.00246 -0.84257  0.000000  0.000000  0.000000     1.000
   1.51327  0.44765 -0.00189 -0.84281  0.000000  0.000000  0.000000     1.000
   1.52297  0.45733 -0.00130 -0.83986  0.000000  0.000000  0.000000     1.000
   1.53276  0.46711 -0.00072 -0.83912  0.000000  0.000000  0.000000     1.000
   1.54266  0.47699 -0.00015 -0.83700  0.000000  0.000000  0.000000     1.000
   1.55267  0.48698  0.00039 -0.84073  0.000000  0.000000  0.000000     1.000
   1.56278  0.49708  0.00095 -0.83948  0.000000  0.000000  0.000000     1.000
   1.57299  0.50727  0.00152 -0.83791  0.000000  0.000000  0.000000     1.000
   1.58330  0.51757  0.00209 -0.83585  0.000000  0.000000  0.000000     1.000
   1.59372  0.52797  0.00264 -0.83494  0.000000  0.000000  0.000000     1.000
   1.60424  0.53848  0.00317 -0.83632  0.000000  0.000000  0.000000     1.000
   1.61486  0.54909  0.00370 -0.83618  0.000000  0.000000  0.000000     1.000
   1.62560  0.55981  0.00424 -0.83559  0.000000  0.000000  0.000000     1.000
   1.63642  0.57062  0.00479 -0.83204  0.000000  0.000000  0.000000     1.000
   1.64735  0.58154  0.00531 -0.83109  0.000000  0.000000  0.000000     1.000
   1.65839  0.59257  0.00580 -0.83481  0.000000  0.000000  0.000000     1.000
   1.66954  0.60370  0.00632 -0.83109  0.000000  0.000000  0.000000     1.000
   1.68078  0.61493  0.00683 -0.83077  0.000000  0.000000  0.000000     1.000
   1.69212  0.62626  0.00734 -0.82689  0.000000  0.000000  0.000000     1.000
   1.70357  0.63770  0.00781 -0.82877  0.000000  0.000000  0.000000     1.000
   1.71512  0.64924  0.00828 -0.82758  0.000000  0.000000  0.000000     1.000
   1.72678  0.66089  0.00875 -0.82760  0.000000  0.000000  0.000000     1.000
   1.73854  0.67264  0.00924 -0.82206  0.000000  0.000000  0.000000     1.000
   1.75040  0.68449  0.00969 -0.82103  0.000000  0.000000  0.000000     1.000
   1.76235  0.69644  0.01011 -0.82186  0.000000  0.000000  0.000000     1.000
   1.77442  0.70850  0.01054 -0.81866  0.000000  0.000000  0.000000     1.000
   1.78660  0.72067  0.01096 -0.81592  0.000000  0.000000  0.000000     1.000
   1.79887  0.73293  0.01136 -0.81238  0.000000  0.000000  0.000000     1.000
   1.81124  0.74530  0.01172 -0.81023  0.000000  0.000000  0.000000     1.000
   1.82373  0.75778  0.01205 -0.80859  0.000000  0.000000  0.000000     1.000
   1.83630  0.77035  0.01237 -0.80263  0.000000  0.000000  0.000000     1.000
   1.84898  0.78303  0.01262 -0.79981  0.000000  0.000000  0.000000     1.000
   1.86177  0.79582  0.01280 -0.79919  0.000000  0.000000  0.000000     1.000
   1.87466  0.80871  0.01295 -0.79427  0.000000  0.000000  0.000000     1.000
   1.88765  0.82170  0.01303 -0.78923  0.000000  0.000000  0.000000     1.000
   1.90074  0.83479  0.01300 -0.78879  0.000000  0.000000  0.000000     1.000
   1.91395  0.84799  0.01290 -0.78412  0.000000  0.000000  0.000000     1.000
   1.92725  0.86129  0.01269 -0.78058  0.000000  0.000000  0.000000     1.000
   1.94066  0.87470  0.01235 -0.77850  0.000000  0.000000  0.000000     1.000
   1.95417  0.88820  0.01187 -0.77716  0.000000  0.000000  0.000000     1.000
   1.96780  0.90182  0.01126 -0.77253  0.000000  0.000000  0.000000     1.000
   1.98154  0.91553  0.01045 -0.77333  0.000000  0.000000  0.000000     1.000
   1.99539  0.92935  0.00947 -0.76807  0.000000  0.000000  0.000000     1.000
   2.00937  0.94327  0.00821 -0.77105  0.000000  0.000000  0.000000     1.000
   2.02348  0.95730  0.00667 -0.77277  0.000000  0.000000  0.000000     1.000
   2.03774  0.97143  0.00479 -0.78290  0.000000  0.000000  0.000000     1.000
   2.05214  0.98566  0.00257 -0.78768  0.000000  0.000000  0.000000     1.000
   2.06671  1.00000  0.00000 -0.79961  0.000000  0.000000  0.000000     1.000
